Master NLC,Master ASC,Unique Station Name,Easting,Northing,Latitude,Longitude
750,ABRd,Abbey Road,539071.2844,183417.3246,51.532539,0.003604948
5131,ABWr,Abbey Wood,547308.6754,179035.458,51.491078,0.12045845
1404,ACCr,Acton Central,520656.3315,180295.4703,51.508712,-0.26281226
3000,AMLr,Acton Main Line,520277.9733,181204.7743,51.516971,-0.26794616
500,ACTu,Acton Town,519481.4399,179598.8618,51.502706,-0.27997061
9441,ADVt,Addington Village,537066.8056,163746.7247,51.356269,-0.03287923
9440,ADSt,Addiscombe,534185.8849,166304.1704,51.379935,-0.073265437
5132,AYPr,Albany Park,547871.0777,172852.9809,51.435384,0.12596416
502,ALDu,Aldgate,533622.9128,181235.3162,51.514245,-0.07571749
503,ALEu,Aldgate East,533957.462,181396.6669,51.515622,-0.070845553
6025,AAPr,Alexandra Palace,530280.7493,190456.0046,51.59789,-0.12043871
850,ALSd,All Saints,537985.1838,180941.5174,51.510564,-0.013010184
505,ALPu,Alperton,517985.7868,183803.0036,51.540804,-0.30009325
506,AMEu,Amersham,496395.2743,198175.3361,51.674085,-0.60736838
9442,AMPt,Ampere Way,530670.3274,166482.5677,51.382363,-0.12369167
5397,ANYr,Anerley,534625.0143,169949.2467,51.412587,-0.065579925
507,ANGu,Angel,531463.5869,183148.4023,51.531942,-0.10609982
508,ARCu,Archway,529364.7343,186821.2997,51.565434,-0.13499401
9443,ARNt,Arena,535196.3216,167629.3203,51.391603,-0.058257667
509,AGRu,Arnos Grove,529338.5551,192491.9164,51.616403,-0.13328087
510,ARLu,Arsenal,531291.7404,186085.9402,51.558384,-0.10748286
9444,AVRt,Avenue Road,535758.9892,169334.7534,51.406799,-0.049518776
511,BSTu,Baker Street,527978.2637,182017.892,51.522587,-0.15673869
512,BALu,Balham LU,528468.7618,173213.5017,51.443356,-0.15286522
5399,BALr,Balham NR,528569.3403,173157.8317,51.44283,-0.15144746
513,BNKu,Bank and Monument,532707.0196,181114.7364,51.513382,-0.088955409
5348,BADr,Banstead,524508.4078,160446.324,51.32949,-0.21430169
501,BARu,Barbican,532012.4729,181850.0335,51.52015,-0.098690051
514,BKGu,Barking,544298.0594,184423.0307,51.540267,0.079322605
515,BDEu,Barkingside,544798.3446,189506.6592,51.585821,0.088619644
5089,BNHr,Barnehurst,550114.8223,176217.0913,51.46502,0.15964919
5551,BNSr,Barnes,522269.0509,175668.1219,51.466782,-0.2411825
5580,BNIr,Barnes Bridge,521459.7772,176230.6031,51.472016,-0.25262988
516,BCTu,Barons Court,524116.9835,178325.6652,51.490268,-0.21365907
5420,BAKr,Battersea Park,528693.4896,177077.5755,51.47803,-0.14823892
6006,BAYr,Bayford,531528.3561,208294.5117,51.757906,-0.095732398
517,BAYu,Bayswater,525810.9705,180816.5624,51.51228,-0.18838485
5076,BECr,Beckenham Hill,538061.0008,171341.9219,51.424279,-0.015662107
5046,BKJr,Beckenham Junction,537343.9144,169823.8402,51.410812,-0.026555734
9445,BCJt,Beckenham Junction Trams,537343.9144,169823.8402,51.410812,-0.026555734
9446,BCRt,Beckenham Road,536193.0247,169662.3245,51.409634,-0.043157405
895,BECd,Beckton,543134.4482,181508.0967,51.514371,0.06136648
891,BEPd,Beckton Park,542709.6441,180866.6221,51.508718,0.055001051
518,BECu,Becontree,547570.9529,184521.9539,51.540312,0.12652477
9449,BDLt,Beddington Lane,529316.8409,167238.3021,51.389458,-0.14284825
9450,BGWt,Belgrave Walk,526828.1196,168440.345,51.400821,-0.17817137
5062,BGMr,Bellingham,537777.2977,172303.8221,51.432993,-0.019370436
5350,BLMr,Belmont,525549.6402,162074.382,51.343893,-0.1987802
519,BPKu,Belsize Park,527354.2891,185087.0278,51.550309,-0.1646188
5092,BVDr,Belvedere,549525.7464,179214.9812,51.492114,0.15244443
787,BERu,Bermondsey,534460.7077,179416.0271,51.4977,-0.064341128
5581,BRSr,Berrylands,519686.3981,168065.7431,51.39901,-0.28091616
6961,BETr,Bethnal Green LO,534713.42,182336.7999,51.523889,-0.059598
520,BNGu,Bethnal Green LU,535046.0556,182740.8586,51.52744,-0.054646273
5093,BXYr,Bexley,549383.1933,173437.2878,51.440235,0.14794647
5094,BXHr,Bexleyheath,548324.5627,175988.716,51.463443,0.13380428
5063,BKLr,Bickley,542307.2629,168763.974,51.400064,0.044333107
5401,BIKr,Birkbeck,535294.4567,168957.2835,51.403513,-0.056344195
9454,BKBt,Birkbeck Trams,535331.0449,168984.0928,51.403747,-0.055802306
521,BLFu,Blackfriars LU,531684.4536,180888.4593,51.511581,-0.10377383
5112,BFRr,Blackfriars NR,531730.9794,180721.936,51.510079,-0.10315891
5095,BKHr,Blackheath,539643.4526,176005.5788,51.465803,0.008915428
9459,BHLt,Blackhorse Lane,534383.0618,166871.5967,51.384993,-0.070221762
522,BHRu,Blackhorse Road,535771.2879,189356.8729,51.586719,-0.041649431
882,BLAd,Blackwall,538397.206,180660.9119,51.507939,-0.007187258
524,BDSu,Bond Street,528538.0237,181109.8646,51.5143,-0.14900232
525,BORu,Borough,532433.3649,179739.3851,51.501081,-0.093417925
526,BOSu,Boston Manor,516355.4736,178716.3998,51.495422,-0.32527838
527,BGRu,Bounds Green,529944.6317,191502.9913,51.607376,-0.12489941
851,BOCd,Bow Church,537383.8771,182842.55,51.527793,-0.02092468
528,BWRu,Bow Road,537118.7775,182731.2583,51.526851,-0.024785921
6027,BOPr,Bowes Park,530251.2222,191489.7345,51.607189,-0.12048793
529,BTXu,Brent Cross,523860.2472,187950.2551,51.576815,-0.21397678
5552,BFDr,Brentford,517461.7292,177872.7263,51.487617,-0.30961954
6872,BREr,Brentwood,559305.8987,193057.7261,51.613813,0.29946636
6810,BMDr,Brimsdown,536313.6411,197033.8079,51.655573,-0.030832267
778,BRXu,Brixton LU,531063.6236,175430.5801,51.462685,-0.11472696
5081,BRXr,Brixton NR,531160.3476,175454.514,51.462879,-0.11333695
5404,BCYr,Brockley,536418.9915,175787.0735,51.46462,-0.037552232
5096,BMNr,Bromley North,540383.1123,169641.1663,51.408424,0.017040094
5064,BMSr,Bromley South,540444.0569,168713.1345,51.40007,0.017549503
530,BBBu,Bromley-by-Bow,537990.4826,182507.2814,51.524626,-0.012325988
1437,BSYr,Brondesbury,524732.2208,184436.5209,51.545052,-0.20264484
1438,BSPr,Brondesbury Park,524204.8043,183915.3005,51.540477,-0.21042471
6074,BPKr,Brookmans Park,523988,204051,51.721484,-0.20642854
6812,BXBr,Broxbourne,537432.4755,207221.4457,51.746839,-0.010669685
6958,BCVr,Bruce Grove,533782.6604,190082.3615,51.593709,-0.070050864
531,BHLu,Buckhurst Hill,541777.137,193886.8257,51.625946,0.046814166
3176,BNMr,Burnham,493995.4357,181352.9107,51.523281,-0.64656778
532,BURu,Burnt Oak,520324.3564,190757.0707,51.602808,-0.26401769
6913,BHKr,Bush Hill Park,533683.947,195429.1707,51.641781,-0.069441126
1395,BSHr,Bushey,511827.1405,195328.9846,51.645649,-0.38519475
534,CRDu,Caledonian Road,530566.4546,184965.3637,51.548479,-0.11836521
1439,CIRr,Caledonian Road & Barnsbury,530806.3208,184408.1628,51.543418,-0.11511281
6962,CBHr,Cambridge Heath,534834.6701,183269.8262,51.532244,-0.057483706
1440,CMDr,Camden Road,529118.7124,184200.2039,51.541937,-0.13950246
535,CTNu,Camden Town,528904.8894,183915.3566,51.539424,-0.14269086
788,CWRu,Canada Water,535466.7962,179468.2716,51.497927,-0.049837696
842,CAWd,Canary Wharf DLR,537448.0472,180320.1679,51.505106,-0.020985671
852,CWFu,Canary Wharf LU,537616.4942,180146.2606,51.503501,-0.018634443
884,CNTu,Canning Town,539453.1556,181363.1512,51.513987,0.008296373
